sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-2.8349;4.0268;8.6985;-2.9861;3.8671;8.5029;-0.3344;-0.0764;0.2403;-0.0567;-0.3803;0.0412;0.0;26.06;-19.5;-21.34;252.46;-25.74;32.58;2.0;55.699978;-4.091975;932.64;NaN;0.86;31.122583;300.2;10 / 30;9;2022-03-07 02:05:01:007
-2.7739;3.9239;8.7165;-2.697;3.7509;8.6503;-0.2165;0.1672;-0.2173;-0.0567;-0.3803;0.0412;0.0;19.99;-18.02;-24.41;245.4;-23.22;19.35;2.0;55.699978;-4.091975;932.64;NaN;0.86;31.122583;300.2;10 / 30;109;2022-03-07 02:05:01:107
-2.592;3.5623;8.9258;-2.697;3.7509;8.6503;-0.2165;0.1672;-0.2173;-0.1981;-0.246;-0.0388;0.0;19.99;-18.02;-24.41;245.4;-23.22;19.35;2.0;55.699978;-4.091975;932.64;NaN;0.86;31.122583;300.2;10 / 30;208;2022-03-07 02:05:01:206
-2.5502;3.6784;8.8301;-2.5286;3.61;8.7604;-0.1012;0.0355;0.0809;0.0023;-0.0706;0.0102;0.0;14.16;-16.99;-26.23;230.61;-22.49;17.32;2.0;55.699978;-4.091975;932.64;NaN;0.86;31.122583;300.2;10 / 30;309;2022-03-07 02:05:01:307
-2.5765;3.6401;8.6746;-2.4859;3.6054;8.7745;-0.064;0.1285;-0.0412;0.0142;-0.038;0.0072;0.0;11.96;-15.99;-26.46;230.61;-22.49;17.32;2.0;55.699978;-4.091975;932.64;NaN;0.86;31.122583;300.2;10 / 30;408;2022-03-07 02:05:01:406
-2.5944;3.6485;8.7858;-2.4627;3.6226;8.774;-0.0837;0.0294;-0.0431;0.0142;-0.038;0.0072;0.0;10.67;-15.67;-26.64;218.33;-21.68;15.68;2.0;55.699978;-4.091975;932.64;NaN;0.86;31.122583;300.2;10 / 30;508;2022-03-07 02:05:01:506
-2.5944;3.6485;8.7858;-2.4474;3.639;8.7715;-0.0816;0.0061;0.0097;0.0124;-0.0486;0.0089;0.0;10.67;-15.67;-26.64;218.33;-21.68;15.68;2.0;55.69997;-4.091986;934.79;NaN;6.23;34.580647;311.6;10 / 30;609;2022-03-07 02:05:01:607
-2.5116;3.7277;8.7332;-2.4292;3.6633;8.7664;-0.0457;0.0439;-0.0248;-0.0024;-0.0217;0.0032;0.0;10.09;-15.54;-26.89;209.44;-21.78;15.59;2.0;55.69997;-4.091986;934.79;NaN;6.23;34.580647;311.6;10 / 30;708;2022-03-07 02:05:01:706
-2.4912;3.6664;8.6997;-2.4326;3.6692;8.763;-0.012;0.0148;-0.022;0.0;-0.0058;-2.0E-4;0.0;9.77;-15.47;-26.81;209.44;-21.78;15.59;2.0;55.69997;-4.091986;934.79;NaN;6.23;34.580647;311.6;10 / 30;809;2022-03-07 02:05:01:807
-2.4733;3.6915;8.9342;-2.4373;3.6752;8.7591;-0.0087;-0.006;-0.0815;0.0;-0.0058;-2.0E-4;0.0;9.68;-15.51;-26.7;210.46;-21.97;15.51;2.0;55.69997;-4.091986;934.79;NaN;6.23;34.580647;311.6;10 / 30;909;2022-03-07 02:05:01:907
