sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-3.9805;2.3306;8.5693;-3.9679;2.4291;8.6328;-0.137;0.085;0.0233;0.1764;0.0258;-0.0443;32.0;20.79;-67.89;-25.76;187.61;-13.47;25.39;2.0;55.699963;-4.091987;;NaN;;47.274193;;0 / 26;23;2022-03-07 13:09:23:661
-4.0726;2.4383;8.5331;-3.9679;2.4291;8.6328;-0.137;0.085;0.0233;-0.0637;-0.2089;-0.0625;32.0;19.11;-66.98;-28.05;185.62;-14.34;24.69;2.0;55.699963;-4.091987;;NaN;;47.274193;;0 / 26;122;2022-03-07 13:09:23:760
-3.7819;2.4586;8.8768;-3.8295;2.4142;8.6993;-0.0746;0.0473;-0.157;-0.0157;-0.0182;-0.0301;32.0;19.11;-66.98;-28.05;185.62;-14.34;24.69;2.0;55.699963;-4.091987;;NaN;;47.274193;;0 / 26;224;2022-03-07 13:09:23:862
-3.7819;2.4586;8.8768;-3.7681;2.3571;8.7416;-0.0532;0.0079;0.0651;-0.0157;-0.0182;-0.0301;32.0;18.41;-66.64;-28.72;185.07;-13.91;23.32;2.0;55.699963;-4.091987;;NaN;;47.274193;;0 / 26;323;2022-03-07 13:09:23:961
-3.6428;2.2851;8.7416;-3.7037;2.4258;8.7503;-0.1195;-0.0134;-0.0301;0.0234;-0.1071;0.0064;32.0;18.15;-66.58;-29.14;185.07;-13.91;23.32;2.0;55.699963;-4.091987;;NaN;;47.274193;;0 / 26;422;2022-03-07 13:09:24:060
-3.5865;2.1176;8.6016;-3.6891;2.4422;8.752;0.1739;-0.2285;0.0824;0.0431;0.6965;0.0657;32.0;18.15;-66.58;-29.14;185.07;-13.91;23.32;2.0;55.699963;-4.091987;;NaN;;47.274193;;0 / 26;522;2022-03-07 13:09:24:160
-4.6053;2.5651;8.222;-4.5704;2.4658;8.3188;0.0497;0.1641;0.1172;0.0431;0.6965;0.0657;32.0;18.32;-66.58;-28.88;185.38;-14.42;22.86;2.0;55.699963;-4.091987;;NaN;;47.274193;;0 / 26;623;2022-03-07 13:09:24:261
-5.3596;2.8789;8.1849;-5.0343;2.5413;8.023;-0.1173;0.2474;-0.0061;0.086;0.5272;0.0255;32.0;19.71;-66.92;-27.13;184.58;-14.56;28.78;2.0;55.699963;-4.091987;;NaN;;47.274193;;0 / 26;723;2022-03-07 13:09:24:361
-5.2672;2.6192;7.4175;-5.1676;2.6186;7.9126;0.0084;-0.0248;-0.1138;0.0148;0.1866;0.0528;32.0;19.71;-66.92;-27.13;184.58;-14.56;28.78;2.0;55.699963;-4.091987;;NaN;;47.274193;;0 / 26;822;2022-03-07 13:09:24:460
-6.3589;2.7497;9.8548;-5.1676;2.6186;7.9126;0.0084;-0.0248;-0.1138;-0.1541;-0.1148;-0.058;28.0;22.35;-67.89;-24.38;185.31;-15.49;33.15;2.0;55.699963;-4.091987;;NaN;;47.274193;;0 / 26;923;2022-03-07 13:09:24:561
