sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-4.899;3.1872;7.6056;-4.9358;3.276;7.8151;0.3233;0.1754;0.6367;-0.0892;-0.1278;-0.0203;40.0;17.98;-1.2;-32.06;9.39;-19.52;32.28;2.0;55.699963;-4.091973;;NaN;;50.09677;;0 / 30;13;2022-03-24 18:23:23:380
-4.899;3.1872;7.6056;-4.7441;3.0643;8.0171;0.1321;0.1748;-0.3639;-0.1164;-0.0646;-0.0528;40.0;17.98;-1.2;-32.06;9.39;-19.52;32.28;2.0;55.699963;-4.091973;;NaN;;50.09677;;0 / 30;112;2022-03-24 18:23:23:479
-4.7623;2.773;8.0276;-4.6798;2.946;8.0988;0.0252;-0.1224;0.3396;-0.1164;-0.0646;-0.0528;43.0;13.22;1.65;-40.11;31.95;-18.21;30.61;2.0;55.699963;-4.091973;;NaN;;50.09677;;0 / 30;214;2022-03-24 18:23:23:581
-4.5972;3.0039;7.9926;-4.6837;2.9408;8.0984;0.199;0.033;0.3627;-0.0289;0.0596;0.0266;43.0;13.22;1.65;-40.11;31.95;-18.21;30.61;2.0;55.699963;-4.091973;;NaN;;50.09677;;0 / 30;313;2022-03-24 18:23:23:680
-4.5694;3.0003;7.9406;-4.6837;2.9408;8.0984;0.1569;0.0171;0.0707;-0.0063;0.0089;0.0564;43.0;11.12;4.13;-40.2;33.53;-17.45;30.04;2.0;55.699963;-4.091973;;NaN;;50.09677;;0 / 30;412;2022-03-24 18:23:23:779
-4.5694;3.0003;7.9406;-4.6584;2.9466;8.1109;-0.0252;0.0374;-0.2231;-0.0079;-0.0426;-0.0182;43.0;11.12;4.13;-40.2;33.53;-17.45;30.04;2.0;55.699963;-4.091973;;NaN;;50.09677;;0 / 30;512;2022-03-24 18:23:23:879
-4.6717;2.8663;8.2499;-4.5634;2.8581;8.1962;-0.0846;-0.0159;-0.0181;-0.0079;-0.0426;-0.0182;43.0;10.69;5.72;-40.09;29.39;-16.94;29.11;2.0;55.699963;-4.091973;;NaN;;50.09677;;0 / 30;613;2022-03-24 18:23:23:980
-4.5855;2.8295;8.1817;-4.5816;2.8943;8.1733;-0.0322;-0.0817;-0.0618;-0.0136;-0.0053;0.0087;43.0;10.69;5.72;-40.09;29.39;-16.94;29.11;2.0;55.699963;-4.091973;;NaN;;50.09677;;0 / 30;713;2022-03-24 18:23:24:080
-4.4853;2.9608;8.158;-4.5432;2.8743;8.2017;-0.0322;-0.0817;-0.0618;-0.0081;-0.0055;0.0224;43.0;10.31;6.26;-40.46;31.8;-17.17;29.27;2.0;55.699963;-4.091973;;NaN;;50.09677;;0 / 30;813;2022-03-24 18:23:24:180
-4.4853;2.9608;8.158;-4.4601;2.9323;8.2267;-0.0291;-0.0323;-0.0659;-0.0159;-0.0183;-0.027;43.0;10.31;6.26;-40.46;31.8;-17.17;29.27;2.0;55.699963;-4.091973;;NaN;;50.09677;;0 / 30;912;2022-03-24 18:23:24:279
-4.4964;2.8298;8.2615;-4.4461;2.906;8.2436;-0.0625;-0.0326;-0.0439;-0.0159;-0.0183;-0.027;43.0;10.03;6.06;-40.03;30.18;-17.4;28.46;2.0;55.699963;-4.091973;;NaN;;50.09677;;0 / 30;1012;2022-03-24 18:23:24:379
-4.4411;2.872;8.1452;-4.4493;2.8826;8.2501;-0.006;0.0172;0.0818;-0.0234;0.0179;-0.009;43.0;10.03;6.06;-40.03;30.18;-17.4;28.46;2.0;55.699963;-4.091973;;NaN;;50.09677;;0 / 30;1113;2022-03-24 18:23:24:480
-4.4626;2.8854;8.2618;-4.4493;2.8826;8.2501;-0.0171;0.0361;0.0853;-0.0084;-0.0069;0.0015;43.0;9.96;5.55;-39.6;30.23;-17.09;28.34;2.0;55.699963;-4.091973;;NaN;;50.09677;;0 / 30;1212;2022-03-24 18:23:24:579
-4.4626;2.8854;8.2618;-4.427;2.8858;8.261;0.0161;0.0518;0.0458;-0.0208;0.0292;0.0032;43.0;9.96;5.55;-39.6;30.23;-17.09;28.34;2.0;55.699963;-4.091973;;NaN;;50.09677;;0 / 30;1313;2022-03-24 18:23:24:680
-4.3705;2.8606;8.2346;-4.4303;2.8946;8.2561;0.0694;-0.0112;-0.0113;-0.0208;0.0292;0.0032;43.0;9.99;5.27;-39.24;30.55;-17.17;28.22;2.0;55.699963;-4.091973;;NaN;;50.09677;;0 / 30;1412;2022-03-24 18:23:24:779
-4.4142;2.9348;8.3635;-4.4056;2.904;8.2661;-0.0139;0.0138;0.0455;-0.0194;0.002;-0.0177;43.0;9.99;5.27;-39.24;30.55;-17.17;28.22;2.0;55.699963;-4.091973;;NaN;;50.09677;;0 / 30;1512;2022-03-24 18:23:24:879
-4.3229;2.9563;8.3644;-4.3925;2.9074;8.2718;-0.0139;0.0138;0.0455;0.005;-0.0142;0.033;43.0;9.88;5.7;-38.87;28.8;-17.22;28.06;2.0;55.699963;-4.091973;;NaN;;50.09677;;0 / 30;1613;2022-03-24 18:23:24:980
-4.3229;2.9563;8.3644;-4.3881;2.9216;8.2691;0.008;-0.0812;0.015;0.0192;-0.049;0.0255;43.0;9.83;5.72;-38.85;28.8;-17.22;28.06;2.0;55.699963;-4.091973;;NaN;;50.09677;;0 / 30;1713;2022-03-24 18:23:25:080
-4.4058;2.9862;8.4709;-4.3721;2.983;8.2557;0.0193;0.0724;0.0759;0.0192;-0.049;0.0255;43.0;9.54;5.36;-39.0;29.46;-17.71;27.91;2.0;55.699963;-4.091973;;NaN;;50.09677;;0 / 30;1813;2022-03-24 18:23:25:180
-4.1533;3.2058;8.1748;-4.2496;3.1343;8.2636;-0.1543;-0.0961;-0.2111;0.1759;-0.1607;0.1368;43.0;9.54;5.36;-39.0;29.46;-17.71;27.91;2.0;55.699963;-4.091973;;NaN;;50.09677;;0 / 30;1914;2022-03-24 18:23:25:281
-4.1486;3.0936;8.4811;-4.2496;3.1343;8.2636;0.0081;0.0427;-0.0095;-0.2358;0.1466;0.0246;43.0;9.28;4.71;-39.45;29.84;-18.64;27.21;2.0;55.699963;-4.091973;;NaN;;50.09677;;0 / 30;2013;2022-03-24 18:23:25:380
-4.1486;3.0936;8.4811;-4.2799;2.9884;8.302;0.1319;0.0192;0.2891;0.2845;0.3129;0.0475;43.0;9.28;4.71;-39.45;29.84;-18.64;27.21;2.0;55.699963;-4.091973;;NaN;;50.09677;;0 / 30;2113;2022-03-24 18:23:25:480
-4.156;3.4041;8.6847;-4.3755;3.1103;8.2068;0.4597;0.195;0.3828;0.2845;0.3129;0.0475;43.0;9.34;4.18;-39.66;33.66;-18.49;28.06;2.0;55.699963;-4.091973;;NaN;;50.09677;;0 / 30;2212;2022-03-24 18:23:25:579
-5.4003;3.7669;6.7896;-5.1377;3.6233;7.5263;0.4597;0.195;0.3828;0.7403;0.7765;-0.0588;38.0;9.34;4.18;-39.66;33.66;-18.49;28.06;2.0;55.699963;-4.091973;;NaN;;50.09677;;0 / 30;2312;2022-03-24 18:23:25:679
-5.8448;4.1892;6.8408;-5.6774;3.9352;6.9608;-0.0097;-0.1614;-0.5922;0.2662;0.6541;-0.0371;38.0;11.96;2.66;-39.17;35.09;-21.68;34.32;2.0;55.699963;-4.091973;;NaN;;50.09677;;0 / 30;2413;2022-03-24 18:23:25:780
-5.8448;4.1892;6.8408;-6.188;4.1155;6.3986;-0.0121;-0.1688;0.0171;0.2917;0.7807;-0.057;38.0;11.96;2.66;-39.17;35.09;-21.68;34.32;2.0;55.699963;-4.091973;;NaN;;50.09677;;0 / 30;2512;2022-03-24 18:23:25:879
-6.6736;4.0753;5.8738;-6.7099;4.3108;5.7066;0.0057;-0.0276;0.1423;0.2917;0.7807;-0.057;33.0;18.0;-0.26;-36.58;37.91;-24.81;44.04;2.0;55.699963;-4.091973;;NaN;;50.09677;;0 / 30;2613;2022-03-24 18:23:25:980
