sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.3582;2.5941;6.0039;0.4945;1.0053;9.7424;0.4826;1.0038;-1.3767;-0.1558;0.1785;-0.1432;493.0;14.01;4.76;-39.36;299.73;-7.24;-3.73;2.0;55.87352;-4.292727;333.87;NaN;;53.64516;;0 / 20;37;2022-03-22 10:34:32:031
3.853;-0.189;12.1627;2.7713;0.4807;9.3946;-2.0822;0.4839;0.0552;-0.9665;-2.0379;-1.7059;493.0;14.33;5.85;-39.62;301.97;-5.88;-2.91;2.0;55.87352;-4.292727;333.87;NaN;;53.64516;;0 / 20;136;2022-03-22 10:34:32:130
7.5075;1.9211;10.2114;4.7107;1.1359;8.5258;1.59;-0.2233;3.4988;0.5488;-0.8813;0.0244;433.0;12.39;1.28;-33.49;276.52;-2.81;-16.44;2.0;55.87352;-4.292727;333.87;NaN;;53.64516;;0 / 20;235;2022-03-22 10:34:32:229
4.1883;-0.7014;8.0641;4.7107;1.1359;8.5258;1.59;-0.2233;3.4988;0.2715;-0.5837;0.104;433.0;12.39;1.28;-33.49;276.52;-2.81;-16.44;2.0;55.87352;-4.292727;333.87;NaN;;53.64516;;0 / 20;336;2022-03-22 10:34:32:330
4.9543;1.6161;7.5302;5.1256;2.0948;8.0938;-0.4549;-2.019;0.5022;0.2715;-0.5837;0.104;433.0;1.76;0.98;-36.34;289.08;-12.33;-32.35;2.0;55.87352;-4.292727;333.87;NaN;;53.64516;;0 / 20;435;2022-03-22 10:34:32:429
2.9276;0.5088;9.9123;5.0939;1.9507;8.1497;-0.0041;-0.3365;-0.1738;-1.1959;1.8396;0.0128;460.0;1.76;0.98;-36.34;289.08;-12.33;-32.35;2.0;55.87352;-4.292727;333.87;NaN;;53.64516;;0 / 20;535;2022-03-22 10:34:32:529
-0.856;-1.9968;8.5044;2.2818;0.2475;9.5343;0.2972;-0.0651;0.376;-1.7826;2.3858;0.5357;460.0;-5.23;1.46;-38.01;296.23;-1.45;-13.46;2.0;55.87352;-4.292727;333.87;NaN;;53.64516;;0 / 20;635;2022-03-22 10:34:32:629
0.4223;-1.4091;10.9047;0.4834;-1.9929;9.5898;0.3266;-0.0862;0.4181;0.875;0.2405;0.0741;556.0;-5.23;1.46;-38.01;296.23;-1.45;-13.46;2.0;55.87352;-4.292727;333.87;NaN;;53.64516;;0 / 20;735;2022-03-22 10:34:32:729
-0.2683;-1.0175;9.9709;-0.2435;-1.2765;9.7202;0.4553;-0.0877;-0.2497;0.875;0.2405;0.0741;556.0;1.26;4.93;-34.91;231.48;11.73;-2.89;2.0;55.87352;-4.292727;333.87;NaN;;53.64516;;0 / 20;835;2022-03-22 10:34:32:829
-0.3392;-0.6272;9.0311;-1.1803;-0.7677;9.705;-0.1194;-0.3538;-0.0125;0.5635;0.8167;0.1355;556.0;1.26;4.93;-34.91;231.48;11.73;-2.89;2.0;55.87352;-4.292727;333.87;NaN;;53.64516;;0 / 20;935;2022-03-22 10:34:32:929
-0.2025;-2.1523;9.5734;-1.1803;-0.7677;9.705;-0.1194;-0.3538;-0.0125;0.2049;-0.3176;0.0476;556.0;13.52;10.39;-31.61;306.22;4.49;6.93;2.0;55.87352;-4.292727;333.87;NaN;;53.64516;;0 / 20;1035;2022-03-22 10:34:33:029
-0.7436;-1.5323;9.4968;-1.0863;-0.5926;9.7283;0.4818;-0.8647;-0.315;-0.1177;-1.0255;0.2912;681.0;13.52;10.39;-31.61;306.22;4.49;6.93;2.0;55.87352;-4.292727;333.87;NaN;;53.64516;;0 / 20;1136;2022-03-22 10:34:33:130
-0.46;-0.6703;9.4573;-0.5294;-0.8602;9.7545;-0.271;-0.5178;0.118;-0.1177;-1.0255;0.2912;681.0;19.29;12.11;-30.26;298.03;5.03;3.11;2.0;55.87352;-4.292727;333.87;NaN;;53.64516;;0 / 20;1235;2022-03-22 10:34:33:229
-0.4768;-0.7337;10.5431;-0.4647;-0.9629;9.7482;0.0697;0.221;-0.1836;-0.0722;0.1779;0.1504;681.0;19.29;12.11;-30.26;298.03;5.03;3.11;2.0;55.87352;-4.292727;333.87;NaN;;53.64516;;0 / 20;1335;2022-03-22 10:34:33:329
-0.97;-1.1503;10.13;-0.649;-0.9295;9.7409;-0.4288;-0.5696;0.1429;-0.188;0.2376;-0.2315;680.0;20.68;11.48;-30.36;292.83;5.44;3.81;2.0;55.87352;-4.292727;333.87;NaN;;53.64516;;0 / 20;1435;2022-03-22 10:34:33:429
-0.2862;-1.0499;9.1101;-0.3579;-0.9593;9.7531;-0.2865;-0.2781;0.0535;0.0035;-0.4377;0.0255;680.0;20.21;11.76;-30.45;292.83;5.44;3.81;2.0;55.87352;-4.292727;333.87;NaN;;53.64516;;0 / 20;1535;2022-03-22 10:34:33:529
-0.3284;-0.8249;8.9641;-0.131;-0.9006;9.7643;0.1657;0.1271;-0.4381;0.0035;-0.4377;0.0255;680.0;20.21;11.76;-30.45;292.83;5.44;3.81;2.0;55.87352;-4.292727;333.87;NaN;;53.64516;;0 / 20;1635;2022-03-22 10:34:33:629
0.3147;0.3508;8.307;0.4593;-0.7343;9.7683;-0.6376;0.3996;-1.8442;0.1229;-0.3008;0.0638;557.0;19.26;11.98;-31.13;296.04;5.27;0.77;2.0;55.87352;-4.292727;333.87;NaN;;53.64516;;0 / 20;1736;2022-03-22 10:34:33:730
4.3487;0.5794;9.4286;0.4593;-0.7343;9.7683;-0.6376;0.3996;-1.8442;1.5329;-3.6492;-0.664;557.0;16.78;10.97;-32.08;295.04;4.29;-2.69;2.0;55.87352;-4.292727;333.87;NaN;;53.64516;;0 / 20;1835;2022-03-22 10:34:33:829
6.1765;0.516;10.4761;3.9053;0.7551;8.9637;-0.5023;-0.1467;1.4426;0.2228;0.2479;-1.6965;447.0;16.78;10.97;-32.08;295.04;4.29;-2.69;2.0;55.87352;-4.292727;333.87;NaN;;53.64516;;0 / 20;1936;2022-03-22 10:34:33:930
5.8352;2.0686;8.9533;4.2572;1.6436;8.6802;1.7548;-0.6093;1.5396;0.2228;0.2479;-1.6965;447.0;5.63;5.36;-34.09;295.25;-9.65;-26.13;2.0;55.87352;-4.292727;333.87;NaN;;53.64516;;0 / 20;2035;2022-03-22 10:34:34:029
2.5089;1.2245;9.4585;3.4163;1.6859;9.0364;1.0529;-1.5854;-0.8831;-0.2573;0.4595;-0.0536;475.0;5.63;5.36;-34.09;295.25;-9.65;-26.13;2.0;55.87352;-4.292727;333.87;NaN;;53.64516;;0 / 20;2136;2022-03-22 10:34:34:130
